SEX	REC	Hi	Fis	LD_0-1000	D_1_0	D_0_1	D_SINGER	D_IQ_TREE	C_1_0	A_1_0	S_1_0	C_0_1	A_0_1	S_0_1	C_SINGER	A_SINGER	S_SINGER	C_IQ_TREE	A_IQ_TREE	S_IQ_TREE
0.0	0.0	0.0069423199999999975	-0.324215727452716	0.15885092271212273	0.011744866298982814	0.0008965024471085887	0.06861385588288958	-0.13912709949574015	1.0	0.0	0.0	1.0	0.0	0.0	0.972932	0.000876	0.026192	1.0	0.0	0.0
0.0	0.0	0.0070019700000000015	-0.41999429074656086	0.18929410518257583	-0.058655795783730175	-0.1335955138008885	-0.02171034504486419	0.08426519089785864	1.0	0.0	0.0	1.0	0.0	0.0	0.9796	0.00016	0.02024	1.0	0.0	0.0
0.0	0.0	0.006967129999999999	-0.4266612928607395	0.20698866038720762	-0.008852811101047905	-0.10126066762761114	-0.0052408675836460895	0.04154355425534518	1.0	0.0	0.0	1.0	0.0	0.0	0.965548	0.001032	0.03342	1.0	0.0	0.0
0.0	0.0	0.006975030000000001	-0.4208887626220884	0.18000482048582508	0.05627618734551831	0.2568279546221694	0.06873124868831533	0.01839599836133472	1.0	0.0	0.0	1.0	0.0	0.0	0.985472	0.000948	0.01358	1.0	0.0	0.0
0.0	0.0	0.006866589999999999	-0.45069440200192346	0.24197957313432497	-0.02438791771891644	0.05058779737102347	0.07436402592539305	0.16660277788528252	1.0	0.0	0.0	1.0	0.0	0.0	0.969016	0.001812	0.029172	1.0	0.0	0.0
0.0	0.0	0.0069719	-0.4086276095004482	0.1836052872887236	-0.04121749021164513	-0.08355810711961248	0.005660453302392958	0.037852797071435254	1.0	0.0	0.0	1.0	0.0	0.0	0.900232	0.007428	0.09234	1.0	0.0	0.0
0.0	0.0	0.00697905	-0.36822654835394225	0.16982196752835246	0.0008530871079759111	0.010049075792847483	0.05242399547278476	-0.07721888864097474	1.0	0.0	0.0	1.0	0.0	0.0	0.891088	0.008416	0.100496	1.0	0.0	0.0
0.0	0.0	0.007009989999999999	-0.47777826665949696	0.23032613886121892	0.023450102996579587	0.09839598639941032	0.03982926789797982	-0.01694520273763478	1.0	0.0	0.0	1.0	0.0	0.0	0.949944	0.001852	0.048204	1.0	0.0	0.0
0.0	0.0	0.006925149999999999	-0.4342649988294455	0.21188830243707996	-0.032283573879366846	0.12121212121212122	0.13635568304540996	0.2198533604352552	1.0	0.0	0.0	1.0	0.0	0.0	0.982604	0.000728	0.016668	1.0	0.0	0.0
0.0	0.0	0.00698472	-0.40302793270362586	0.18687175205683135	0.013889691748069144	0.021951064086279202	0.020952055194046873	-0.03855124396128241	1.0	0.0	0.0	1.0	0.0	0.0	0.964136	0.001364	0.0345	1.0	0.0	0.0
0.0	0.0	0.00685467	-0.37884746224302984	0.16474582345784705	0.01733661233101605	-0.0006905997477641502	-0.012339368931507982	0.09592153685655218	1.0	0.0	0.0	1.0	0.0	0.0	0.888492	0.008784	0.102724	1.0	0.0	0.0
0.0	0.0	0.00710539	-0.3006822662942298	0.1593441017165192	0.00367095408520944	-0.016394313398034092	0.0016896842236642806	0.051965552551218826	1.0	0.0	0.0	1.0	0.0	0.0	0.644544	0.059624	0.295832	0.7	0.0	0.3
0.0	0.0	0.0064799	-0.48962843952505225	0.23779657394069006	0.015446886720115207	-0.07025897661839604	0.015546025804590923	-0.050408762880396675	1.0	0.0	0.0	1.0	0.0	0.0	0.965036	0.003324	0.03164	1.0	0.0	0.0
0.0	0.0	0.0069630000000000004	-0.5091113235995967	0.24165421357892014	0.038023315520591586	0.0	0.0923807639026321	-0.02517846444990112	1.0	0.0	0.0	1.0	0.0	0.0	0.993156	0.000272	0.006572	1.0	0.0	0.0
0.0	0.0	0.00694316	-0.4833141361008401	0.1731204246069333	0.02832236369948966	0.043655692470754986	0.024546556771462124	-0.05936085993552811	1.0	0.0	0.0	1.0	0.0	0.0	0.85736	0.008564	0.134076	1.0	0.0	0.0
0.0	0.0	0.006806989999999998	-0.393256350038541	0.18670326273867813	-0.056859784170012154	0.0	0.0	0.13457696005385808	1.0	0.0	0.0	1.0	0.0	0.0	0.992852	1.6e-05	0.007132	1.0	0.0	0.0
0.0	0.0	0.006760810000000001	-0.3925619859800714	0.17081271174139478	-0.0364920789038301	-0.1332975522485159	-0.050833533679084254	-0.06747700712807855	1.0	0.0	0.0	1.0	0.0	0.0	0.969292	0.002684	0.028024	1.0	0.0	0.0
0.0	0.0	0.00701251	-0.5048043336047895	0.27770361747574823	-0.05375822164814457	0.033802964594147215	0.04076974135056483	-0.07743265401136397	1.0	0.0	0.0	1.0	0.0	0.0	0.982052	0.0006	0.017348	1.0	0.0	0.0
0.0	0.0	0.007075790000000001	-0.3661017786857481	0.1714689749267561	-0.0036717674007430735	-0.037582227973687043	0.004273438791828616	0.027661484076164013	1.0	0.0	0.0	1.0	0.0	0.0	0.961976	0.00104	0.036984	1.0	0.0	0.0
0.0	0.0	0.006932039999999997	-0.40431260054050383	0.1751748297692208	0.008233564749410935	-0.0014911603158256105	-0.08846527850029985	-0.17344862458804813	1.0	0.0	0.0	1.0	0.0	0.0	0.988468	0.000536	0.010996	1.0	0.0	0.0
0.0	0.0	0.006965000000000002	-0.4871461043384789	0.25991542874900625	0.05304090504979904	-0.06526831345826235	-0.050322142063262076	-0.1736009546978006	1.0	0.0	0.0	1.0	0.0	0.0	0.986052	0.00096	0.012988	1.0	0.0	0.0
0.0	0.0	0.007011970000000001	-0.3770333267807733	0.17756287004763807	0.022002997276151976	-0.052351168889743484	-0.026831837151539504	-0.05807255189087178	1.0	0.0	0.0	1.0	0.0	0.0	0.811288	0.016868	0.171844	1.0	0.0	0.0
0.0	0.0	0.0071194299999999995	-0.47599453127424757	0.23005633624214325	0.008099692605177136	-0.013680553407767094	0.05267612709387679	0.02042948994131852	1.0	0.0	0.0	1.0	0.0	0.0	0.9761	0.001304	0.022596	1.0	0.0	0.0
0.0	0.0	0.006793260000000001	-0.41885781715333587	0.21145790212564208	0.044352170319263334	0.010105191160168872	0.0016931514896228795	0.06767454822881008	1.0	0.0	0.0	1.0	0.0	0.0	0.944456	0.00288	0.052664	1.0	0.0	0.0
0.0	0.0	0.006941089999999999	-0.45051295565706934	0.2211587598969521	-0.07093936668536364	-0.06097184201639615	-0.0945578663776151	-0.1326263979004328	1.0	0.0	0.0	1.0	0.0	0.0	0.976904	0.001044	0.022052	1.0	0.0	0.0
0.0	0.0	0.00684678	-0.5085942588463298	0.2718288560275668	0.038908099546858685	0.051808604092945	-0.053011217995750676	-0.14085919162595034	1.0	0.0	0.0	1.0	0.0	0.0	0.975532	0.000908	0.02356	1.0	0.0	0.0
0.0	0.0	0.006985849999999999	-0.3807272212459009	0.1730502507840765	-0.026250370364465203	0.25553971750680315	0.040124500499500504	0.41729132840296573	1.0	0.0	0.0	1.0	0.0	0.0	0.992848	0.00046	0.006692	1.0	0.0	0.0
0.0	0.0	0.006869159999999998	-0.407075432839675	0.20033852186509263	0.07559592114715404	0.02696890041989554	-0.01854566643328518	0.01584006209608439	1.0	0.0	0.0	1.0	0.0	0.0	0.983756	0.00016	0.016084	1.0	0.0	0.0
0.0	0.0	0.006988359999999999	-0.39569224914748374	0.18744385081871603	0.08312642257111186	0.1277191890103903	0.12223113121620285	-0.035639854908311265	1.0	0.0	0.0	1.0	0.0	0.0	0.988736	0.000148	0.011116	1.0	0.0	0.0
0.0	0.0	0.00684351	-0.42040988824113296	0.19657131157790614	0.038887415857063234	1.6960507458390867e-05	0.062395095295663346	-0.09931051929157189	1.0	0.0	0.0	1.0	0.0	0.0	0.975684	0.003628	0.020688	1.0	0.0	0.0
0.0	0.0	0.00700734	-0.4773888882597224	0.26095840146133253	0.016924934927593505	-0.08480021875106812	0.02106536609980021	-0.2721887290763336	1.0	0.0	0.0	1.0	0.0	0.0	0.98162	0.000572	0.017808	1.0	0.0	0.0
0.0	0.0	0.007085950000000001	-0.49982590063285687	0.2612949967605173	-0.03400351619602114	0.027340900802334065	-0.06419941966158127	0.005391231383771458	1.0	0.0	0.0	1.0	0.0	0.0	0.973968	0.001656	0.024376	1.0	0.0	0.0
0.0	0.0	0.006987449999999999	-0.49795863799957596	0.26276814506895835	-0.005646934524476947	0.06591679373491115	0.04440614803096455	-0.21556300734076847	1.0	0.0	0.0	1.0	0.0	0.0	0.937252	0.004748	0.058	1.0	0.0	0.0
0.0	0.0	0.00691723	-0.5194571039245246	0.2721539016386231	-0.10756730393084028	-0.1946306751352623	-0.011353795625656018	0.21073663386869113	1.0	0.0	0.0	1.0	0.0	0.0	0.986604	0.000304	0.013092	1.0	0.0	0.0
