SEX	REC	Hi	Fis	LD_0-1000	D_1_0	D_0_1	D_SINGER	D_IQ_TREE	C_1_0	A_1_0	S_1_0	C_0_1	A_0_1	S_0_1	C_SINGER	A_SINGER	S_SINGER	C_IQ_TREE	A_IQ_TREE	S_IQ_TREE
0.0	0.0	0.0070320700000000005	-0.3952048314829146	0.17462524039183244	0.01588421672503073	-0.046523153933881026	-0.11499910545268988	-0.11666086335883478	1.0	0.0	0.0	1.0	0.0	0.0	0.923348	0.008056	0.068596	1.0	0.0	0.0
0.0	0.0	0.0069988	-0.4090309311509075	0.19965583911952928	0.014689469743921862	-0.006840997045856563	-0.001422913764701299	-0.1459015312965054	1.0	0.0	0.0	1.0	0.0	0.0	0.944956	0.002276	0.052768	1.0	0.0	0.0
0.0	0.0	0.00700361	-0.4331160390981156	0.19842494286280782	-0.08148919466949579	-0.12558259968928018	-0.10219065859381117	-0.12446415346716708	1.0	0.0	0.0	1.0	0.0	0.0	0.9865	0.000768	0.012732	1.0	0.0	0.0
0.0	0.0	0.006994540000000001	-0.3052845521107854	0.1356057052327122	-0.014671425084193985	-0.005027813191656295	-0.01594386183534894	-0.03327367983178499	1.0	0.0	0.0	1.0	0.0	0.0	0.810872	0.019272	0.169856	1.0	0.0	0.0
0.0	0.0	0.007156200000000001	-0.5102605088542077	0.25530166585457026	0.0379474034911942	-0.12890281137237797	-0.016358028961518164	-0.015045443607959683	1.0	0.0	0.0	1.0	0.0	0.0	0.98074	0.000968	0.018292	1.0	0.0	0.0
0.0	0.0	0.006992319999999999	-0.41282387658377234	0.2037878088314865	-0.025166750038574343	-0.06378406007708744	-0.04497015151834788	0.0011206291261067528	1.0	0.0	0.0	1.0	0.0	0.0	0.900248	0.004176	0.095576	1.0	0.0	0.0
0.0	0.0	0.0069548200000000004	-0.29609645164235304	0.1298889157754555	-0.010155070732663928	-0.023247755708788568	0.031609570506902926	0.03605271793945496	1.0	0.0	0.0	1.0	0.0	0.0	0.73016	0.037676	0.232164	1.0	0.0	0.0
0.0	0.0	0.007040329999999999	-0.3801740917227848	0.17412361757683312	0.00354691012925692	0.02616867947607247	-0.02372554159099534	0.5836589868658714	1.0	0.0	0.0	1.0	0.0	0.0	0.83962	0.01938	0.141	1.0	0.0	0.0
0.0	0.0	0.00695538	-0.37909255655439816	0.1615462634945292	0.004062852534205111	0.052133034852287576	0.020198095533956753	0.40752067825278826	1.0	0.0	0.0	1.0	0.0	0.0	0.926852	0.002348	0.0708	1.0	0.0	0.0
0.0	0.0	0.007070989999999999	-0.466204181127691	0.25654486703918455	-0.001868130748817886	-0.2301124875409369	-0.05919856242424625	-0.07069825078938262	1.0	0.0	0.0	1.0	0.0	0.0	0.960816	0.003972	0.035212	1.0	0.0	0.0
0.0	0.0	0.006961930000000001	-0.42578333015843317	0.19718042343341521	-0.031672791411647645	0.00992515235381533	-0.015698433768604178	0.017722247580568555	1.0	0.0	0.0	1.0	0.0	0.0	0.940292	0.00372	0.055988	1.0	0.0	0.0
0.0	0.0	0.006858579999999999	-0.4612576677834518	0.24570005804884687	0.014820454651397669	0.3459007403345215	-0.012468840230160587	-0.09383802228447173	1.0	0.0	0.0	1.0	0.0	0.0	0.987804	0.004096	0.0081	1.0	0.0	0.0
0.0	0.0	0.006832339999999999	-0.4528684281957615	0.21023980843316586	-0.01226811245504559	0.007677267437302889	0.009910995598237056	-0.002440595062791137	1.0	0.0	0.0	1.0	0.0	0.0	0.957504	0.001468	0.041028	1.0	0.0	0.0
0.0	0.0	0.0068197	-0.3922398894314374	0.1753537236506694	-0.10723884004947404	-0.04692838264681235	0.03885328184425103	-0.03724248490364109	1.0	0.0	0.0	1.0	0.0	0.0	0.985372	0.00214	0.012488	1.0	0.0	0.0
0.0	0.0	0.0069424000000000005	-0.3769979074619615	0.1911993505358034	0.03626570154525766	0.05608482354802975	-0.03127377575043243	-0.03943486178713537	1.0	0.0	0.0	1.0	0.0	0.0	0.98384	0.001264	0.014896	1.0	0.0	0.0
0.0	0.0	0.007053459999999999	-0.38648426241753964	0.18298869175586238	0.02718393723711311	-0.014036551183511449	-0.02754502395349734	-0.03197329247228153	1.0	0.0	0.0	1.0	0.0	0.0	0.908132	0.009696	0.082172	1.0	0.0	0.0
0.0	0.0	0.006991139999999999	-0.3571776866837644	0.15828137252312496	0.011229747541812909	0.01884672280881545	-0.050279076723656564	-0.07355252716548424	1.0	0.0	0.0	1.0	0.0	0.0	0.888992	0.009128	0.10188	1.0	0.0	0.0
0.0	0.0	0.00711294	-0.3498052674923578	0.1577314681758493	-0.009686808963821982	-0.05959733518356895	0.007990506210445315	-0.06804452909391165	1.0	0.0	0.0	1.0	0.0	0.0	0.949332	0.001964	0.048704	1.0	0.0	0.0
0.0	0.0	0.00669618	-0.4128816529275709	0.19654983177799645	-0.10041264430624583	0.14733289309560496	0.13128479519413871	0.09688084919467341	1.0	0.0	0.0	1.0	0.0	0.0	0.987204	0.000176	0.01262	1.0	0.0	0.0
0.0	0.0	0.007003609999999998	-0.4507096192165354	0.22866395791589464	0.014357277871850324	0.06745879649855184	0.13052986044223466	-0.1788278799159749	1.0	0.0	0.0	1.0	0.0	0.0	0.940456	0.004012	0.055532	1.0	0.0	0.0
0.0	0.0	0.007126869999999999	-0.4063020520526131	0.1965310615460137	-0.0049712590500864805	-0.1317081553493396	0.05538200010723259	-0.21195370106993364	1.0	0.0	0.0	1.0	0.0	0.0	0.987844	0.0011	0.011056	1.0	0.0	0.0
