SEX	REC	Hi	Fis	LD_0-1000	D_1_0	D_0_1	D_SINGER	C_1_0	A_1_0	S_1_0	C_0_1	A_0_1	S_0_1	C_SINGER	A_SINGER	S_SINGER	C_IQ_TREE	A_IQ_TREE	S_IQ_TREE
0.0	0.0	0.007051	-0.7632604843473124	0.9176841433245551	-0.0009811616954474097	-0.015625	-0.07369249913446342	1.0	0.0	0.0	1.0	0.0	0.0	0.923348	0.008056	0.068596	1.0	0.0	0.0
0.0	0.0	0.006923	-0.7798705120659212	0.8938631719861903	0.000541907514450867	-0.0012224938875305623	-0.018100318993176132	1.0	0.0	0.0	1.0	0.0	0.0	0.944956	0.002276	0.052768	1.0	0.0	0.0
0.0	0.0	0.0070935	-0.9086893816477374	0.8702247941759192	-0.00438288920056101	-0.007556675062972292	-0.09264705882352939	1.0	0.0	0.0	1.0	0.0	0.0	0.9865	0.000768	0.012732	1.0	0.0	0.0
0.0	0.0	0.0067895	-0.5456496293406163	0.4118765012984483	-0.002777777777777778	0.012626262626262626	-0.02098646691603072	1.0	0.0	0.0	1.0	0.0	0.0	0.810872	0.019272	0.169856	1.0	0.0	0.0
0.0	0.0	0.006895999999999999	-0.9423915103278377	0.8938267565782696	0.0038447455144635665	0.0	-0.0018234126984126963	1.0	0.0	0.0	1.0	0.0	0.0	0.98074	0.000968	0.018292	1.0	0.0	0.0
0.0	0.0	0.0068485	-0.6851631512529294	0.8312866124583702	-0.0029314767314034445	-0.017326732673267328	-0.034077037711614036	1.0	0.0	0.0	1.0	0.0	0.0	0.900248	0.004176	0.095576	1.0	0.0	0.0
0.0	0.0	0.0072055	-0.9751972942502819	0.8762179334721666	-0.009487283003633428	-0.01978021978021978	0.03779869914759345	1.0	0.0	0.0	1.0	0.0	0.0	0.73016	0.037676	0.232164	1.0	0.0	0.0
0.0	0.0	0.006773	-0.9166783823047002	0.7944831142046918	0.0039159109645507005	-0.002770083102493075	-0.0026447155157064105	1.0	0.0	0.0	1.0	0.0	0.0	0.83962	0.01938	0.141	1.0	0.0	0.0
0.0	0.0	0.0070245	-0.8947840919292575	0.5620667070352566	0.002872531418312388	0.011270491803278689	0.032702274886432646	1.0	0.0	0.0	1.0	0.0	0.0	0.926852	0.002348	0.0708	1.0	0.0	0.0
0.0	0.0	0.0067975	-0.829723991507431	0.7040343390059056	0.00041511000415110004	-0.021518987341772152	-0.060960978835978834	1.0	0.0	0.0	1.0	0.0	0.0	0.960816	0.003972	0.035212	1.0	0.0	0.0
0.0	0.0	0.006978	-0.9575586854460094	0.8148965742784727	-0.009600903614457831	0.0	-0.00225255088826517	1.0	0.0	0.0	1.0	0.0	0.0	0.940292	0.00372	0.055988	1.0	0.0	0.0
0.0	0.0	0.007117	-0.8113124945276246	0.6896011268835125	0.0	0.002364066193853428	-0.016786570743405275	1.0	0.0	0.0	1.0	0.0	0.0	0.987804	0.004096	0.0081	1.0	0.0	0.0
0.0	0.0	0.007065	-0.8650793650793651	0.7456244881028962	-0.0009018759018759019	-0.0011682242990654205	-0.006374368686868688	1.0	0.0	0.0	1.0	0.0	0.0	0.957504	0.001468	0.041028	1.0	0.0	0.0
0.0	0.0	0.006871	-0.9056116870052049	0.6545675425406293	-0.0003502626970227671	-0.0012135922330097086	0.021505376344086027	1.0	0.0	0.0	1.0	0.0	0.0	0.985372	0.00214	0.012488	1.0	0.0	0.0
0.0	0.0	0.0068845	-0.6273753691158589	0.47578103343212647	0.003515914137675796	0.007075471698113208	-0.01763157894736842	1.0	0.0	0.0	1.0	0.0	0.0	0.98384	0.001264	0.014896	1.0	0.0	0.0
0.0	0.0	0.007015	-0.9815899581589959	0.5521902340698865	0.013064133016627079	0.0012285012285012285	-0.01386112379683808	1.0	0.0	0.0	1.0	0.0	0.0	0.908132	0.009696	0.082172	1.0	0.0	0.0
0.0	0.0	0.0069225	-0.6781935202356278	0.8199161233048643	0.008273787138021812	0.0013054830287206266	-0.027951839572918004	1.0	0.0	0.0	1.0	0.0	0.0	0.888992	0.009128	0.10188	1.0	0.0	0.0
0.0	0.0	0.006876500000000001	-0.8673518689331049	0.6462969038307652	0.0009889240506329115	0.0037313432835820895	0.026016932934790068	1.0	0.0	0.0	1.0	0.0	0.0	0.949332	0.001964	0.048704	1.0	0.0	0.0
0.0	0.0	0.006981	-0.9560246262093227	0.9749021559523886	-0.0015533980582524273	0.0026041666666666665	0.10912698412698411	1.0	0.0	0.0	1.0	0.0	0.0	0.987204	0.000176	0.01262	1.0	0.0	0.0
0.0	0.0	0.0068975	-0.7573839662447258	0.7099106618757272	0.005624092888243832	0.013303769401330377	0.11390101426351426	1.0	0.0	0.0	1.0	0.0	0.0	0.940456	0.004012	0.055532	1.0	0.0	0.0
0.0	0.0	0.006871	-0.9366749989036529	0.8271745353376952	-0.0009484066767830046	0.0	0.024239766081871342	1.0	0.0	0.0	1.0	0.0	0.0	0.987844	0.0011	0.011056	1.0	0.0	0.0
0.0	0.0	0.007112	-0.8027262083960529	0.6687021249397721	0.002511661284535343	0.012195121951219513	0.004816530625459201	1.0	0.0	0.0	1.0	0.0	0.0	0.959624	0.001604	0.038772	1.0	0.0	0.0
0.0	0.0	0.007024	-0.9063212991544759	0.9288012376168718	0.0030864197530864196	-0.004705882352941176	0.07735929665572523	1.0	0.0	0.0	1.0	0.0	0.0	0.940588	0.004488	0.054924	1.0	0.0	0.0
0.0	0.0	0.0070645	-0.9162217659137577	0.7561049553196761	-0.00829127613554434	0.008353221957040573	-0.028750661375661374	1.0	0.0	0.0	1.0	0.0	0.0	0.973876	0.001088	0.025036	1.0	0.0	0.0
0.0	0.0	0.0073395000000000005	-0.6065351501593111	0.9268753645411469	-0.003095411507647487	-0.005	0.04108015873015873	1.0	0.0	0.0	1.0	0.0	0.0	0.97384	0.000644	0.025516	1.0	0.0	0.0
0.0	0.0	0.007032999999999999	-0.6034779092103932	0.45074095945109954	-0.014025500910746813	-0.011764705882352941	-0.0026318627592123805	1.0	0.0	0.0	1.0	0.0	0.0	0.880956	0.009236	0.109808	1.0	0.0	0.0
0.0	0.0	0.006867	-0.7086468939058581	0.990914492305601	-0.005661231884057971	0.00563063063063063	0.02052904641654642	1.0	0.0	0.0	1.0	0.0	0.0	0.956372	0.002244	0.041384	1.0	0.0	0.0
0.0	0.0	0.0069115	-0.8645377285603915	0.971901804199941	0.001148105625717566	0.006596306068601583	-0.00584157046657047	1.0	0.0	0.0	1.0	0.0	0.0	0.9685	0.002232	0.029268	1.0	0.0	0.0
0.0	0.0	0.0070545	-0.9633070570570571	0.8222352136516996	0.00813777441332324	0.02511415525114155	0.026389343758161946	1.0	0.0	0.0	1.0	0.0	0.0	0.629236	0.063636	0.307128	0.05	0.3	0.65
0.0	0.0	0.006733	-0.8675007602415395	0.5931550370563841	-0.0008130081300813008	0.0	-0.005128968253968251	1.0	0.0	0.0	1.0	0.0	0.0	0.98314	0.000332	0.016528	1.0	0.0	0.0
0.0	0.0	0.007152	-0.799650043744532	0.3843835713400931	-0.0006958942240779402	-0.022727272727272728	-0.04509027332512683	1.0	0.0	0.0	1.0	0.0	0.0	0.7305	0.05098	0.21852	1.0	0.0	0.0
0.0	0.0	0.00694	-0.9741063353800751	0.9316140692627266	0.0027089783281733747	-0.015853658536585366	-0.1146734126984127	1.0	0.0	0.0	1.0	0.0	0.0	0.980988	0.000488	0.018524	1.0	0.0	0.0
0.0	0.0	0.007043499999999999	-0.8777577474461328	0.79274620889497	0.0	-0.011568123393316195	-0.043109126984126965	1.0	0.0	0.0	1.0	0.0	0.0	0.974748	0.001064	0.024188	1.0	0.0	0.0
0.0	0.0	0.006928999999999999	-0.766599278550759	0.6398335846317081	-0.004004368401892974	0.007228915662650603	-0.06433558161415304	1.0	0.0	0.0	1.0	0.0	0.0	0.937132	0.003116	0.059752	1.0	0.0	0.0
0.0	0.0	0.006831	-0.8148609381486095	0.8984005621255969	-0.0032679738562091504	0.01411764705882353	0.0584976911976912	1.0	0.0	0.0	1.0	0.0	0.0	0.963164	0.002068	0.034768	1.0	0.0	0.0
0.0	0.0	0.0069	-0.7896178164391284	0.9095282111259927	0.0008103727714748784	0.007317073170731708	0.06006006006006006	1.0	0.0	0.0	1.0	0.0	0.0	0.990128	5.6e-05	0.009816	1.0	0.0	0.0
0.0	0.0	0.0070845000000000005	-0.9390671091445428	0.6127451205493334	0.0033928571428571428	-0.0023752969121140144	0.0373303021053021	1.0	0.0	0.0	1.0	0.0	0.0	0.95258	0.00302	0.0444	1.0	0.0	0.0
0.0	0.0	0.0070145	-0.6293118856121536	0.9417049361339056	0.0	-0.0037974683544303796	0.0002246813371813383	1.0	0.0	0.0	1.0	0.0	0.0	0.965216	0.002816	0.031968	1.0	0.0	0.0
0.0	0.0	0.0070145	-0.9913519746324589	0.8316326738440608	0.000375234521575985	0.0	-0.010416666666666666	1.0	0.0	0.0	1.0	0.0	0.0	0.993524	3.6e-05	0.00644	1.0	0.0	0.0
0.0	0.0	0.007006999999999999	-0.9809631514466121	0.9105259523932819	-0.007897507897507898	-0.005012531328320802	-0.08188644179894179	1.0	0.0	0.0	1.0	0.0	0.0	0.946992	0.003192	0.049816	1.0	0.0	0.0
0.0	0.0	0.006933	-0.913235700469743	0.7953587908780847	-0.007147962830593281	-0.013829787234042552	-0.0495917647828362	1.0	0.0	0.0	1.0	0.0	0.0	0.961764	0.002424	0.035812	1.0	0.0	0.0
0.0	0.0	0.007007	-0.6610735817534683	0.9351733358800497	0.00018621973929236498	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.995044	0.0	0.004956	1.0	0.0	0.0
0.0	0.0	0.0070465	-0.8131655770733112	0.6859432916621443	0.0003772161448509996	-0.005518763796909493	-0.04522559662559662	1.0	0.0	0.0	1.0	0.0	0.0	0.958812	0.00094	0.040248	1.0	0.0	0.0
0.0	0.0	0.007105	-0.973280832513008	0.9468715048910235	-0.0031598513011152417	-0.004705882352941176	-0.06482177666388193	1.0	0.0	0.0	1.0	0.0	0.0	0.971776	0.000588	0.027636	1.0	0.0	0.0
0.0	0.0	0.007036	-0.727244558060268	0.9172533815390959	0.020934579439252338	0.005277044854881266	0.0012252606520463721	1.0	0.0	0.0	1.0	0.0	0.0	0.908032	0.006564	0.085404	1.0	0.0	0.0
0.0	0.0	0.0071140000000000005	-0.9206151862596123	0.6320498133167911	-0.0030463038180341185	0.004819277108433735	0.027137574330431482	1.0	0.0	0.0	1.0	0.0	0.0	0.94448	0.00282	0.0527	1.0	0.0	0.0
0.0	0.0	0.0069045	-0.7349578108981942	0.9773874830226018	-0.0009541984732824427	-0.0025575447570332483	-0.045454545454545456	1.0	0.0	0.0	1.0	0.0	0.0	0.990252	0.00012	0.009628	1.0	0.0	0.0
0.0	0.0	0.0067469999999999995	-0.7274519079154841	0.582568105295378	0.001463057790782736	0.010180995475113122	0.0666765873015873	1.0	0.0	0.0	1.0	0.0	0.0	0.985112	0.000384	0.014504	1.0	0.0	0.0
0.0	0.0	0.0071925	-0.6966194523135032	0.5430751326894631	0.006403219904866447	0.016867469879518072	0.0413883201195526	1.0	0.0	0.0	1.0	0.0	0.0	0.917964	0.005816	0.07622	1.0	0.0	0.0
0.0	0.0	0.006914	-0.9636968269364001	0.9837997919393268	0.0008281573498964803	-0.0012077294685990338	-0.06455617628801985	1.0	0.0	0.0	1.0	0.0	0.0	0.986892	0.000912	0.012196	1.0	0.0	0.0
0.0	0.0	0.0067925	-0.9443144809871107	0.8716667689600851	0.0024743052912067	0.0012919896640826874	-0.0651111111111111	1.0	0.0	0.0	1.0	0.0	0.0	0.988148	0.000828	0.011024	1.0	0.0	0.0
