SEX	REC	Hi	Fis	LD_0-1000	D_1_0	D_0_1	D_SINGER	D_IQ_TREE	C_1_0	A_1_0	S_1_0	C_0_1	A_0_1	S_0_1	C_SINGER	A_SINGER	S_SINGER	C_IQ_TREE	A_IQ_TREE	S_IQ_TREE
0.0	0.0	0.007051	-0.7632604843473124	0.9176841433245551	-0.02715643714357231	-0.04024593376445228	-0.07369249913446342	-0.11666086335883478	1.0	0.0	0.0	1.0	0.0	0.0	0.923348	0.008056	0.068596	1.0	0.0	0.0
0.0	0.0	0.006923	-0.7798705120659212	0.8938631719861903	0.00815358772642727	0.015317919075144517	-0.018100318993176132	-0.1459015312965054	1.0	0.0	0.0	1.0	0.0	0.0	0.944956	0.002276	0.052768	1.0	0.0	0.0
0.0	0.0	0.0070935	-0.9086893816477374	0.8702247941759192	-0.0489596425080296	-0.10909090909090909	-0.09264705882352939	-0.12446415346716708	1.0	0.0	0.0	1.0	0.0	0.0	0.9865	0.000768	0.012732	1.0	0.0	0.0
0.0	0.0	0.0067895	-0.5456496293406163	0.4118765012984483	-0.01978329604199036	-0.028391772153631725	-0.02098646691603072	-0.03327367983178499	1.0	0.0	0.0	1.0	0.0	0.0	0.810872	0.019272	0.169856	1.0	0.0	0.0
0.0	0.0	0.006895999999999999	-0.9423915103278377	0.8938267565782696	0.026286457365781165	0.020754716981132078	-0.0018234126984126963	-0.015045443607959683	1.0	0.0	0.0	1.0	0.0	0.0	0.98074	0.000968	0.018292	1.0	0.0	0.0
0.0	0.0	0.0068485	-0.6851631512529294	0.8312866124583702	-0.02476731897109822	-0.07529452305571707	-0.034077037711614036	0.0011206291261067528	1.0	0.0	0.0	1.0	0.0	0.0	0.900248	0.004176	0.095576	1.0	0.0	0.0
0.0	0.0	0.0072055	-0.9751972942502819	0.8762179334721666	-0.029736980396285136	-0.03915360080023025	0.03779869914759345	0.03605271793945496	1.0	0.0	0.0	1.0	0.0	0.0	0.73016	0.037676	0.232164	1.0	0.0	0.0
0.0	0.0	0.006773	-0.9166783823047002	0.7944831142046918	0.009920363347822954	0.005873626373626377	-0.0026447155157064105	0.5836589868658714	1.0	0.0	0.0	1.0	0.0	0.0	0.83962	0.01938	0.141	1.0	0.0	0.0
0.0	0.0	0.0070245	-0.8947840919292575	0.5620667070352566	0.033036152720736865	0.05663973922902494	0.032702274886432646	0.40752067825278826	1.0	0.0	0.0	1.0	0.0	0.0	0.926852	0.002348	0.0708	1.0	0.0	0.0
0.0	0.0	0.0067975	-0.829723991507431	0.7040343390059056	0.0038796779675651155	-0.11152882205513784	-0.060960978835978834	-0.07069825078938262	1.0	0.0	0.0	1.0	0.0	0.0	0.960816	0.003972	0.035212	1.0	0.0	0.0
0.0	0.0	0.006978	-0.9575586854460094	0.8148965742784727	-0.024384146169090137	-0.015624999999999993	-0.00225255088826517	0.017722247580568555	1.0	0.0	0.0	1.0	0.0	0.0	0.940292	0.00372	0.055988	1.0	0.0	0.0
0.0	0.0	0.007117	-0.8113124945276246	0.6896011268835125	-0.0016420361247947441	0.1	-0.016786570743405275	-0.09383802228447173	1.0	0.0	0.0	1.0	0.0	0.0	0.987804	0.004096	0.0081	1.0	0.0	0.0
0.0	0.0	0.007065	-0.8650793650793651	0.7456244881028962	0.007001833185812471	-0.010714285714285711	-0.006374368686868688	-0.002440595062791137	1.0	0.0	0.0	1.0	0.0	0.0	0.957504	0.001468	0.041028	1.0	0.0	0.0
0.0	0.0	0.006871	-0.9056116870052049	0.6545675425406293	-0.008647140864714086	-0.03571428571428571	0.021505376344086027	-0.03724248490364109	1.0	0.0	0.0	1.0	0.0	0.0	0.985372	0.00214	0.012488	1.0	0.0	0.0
0.0	0.0	0.0068845	-0.6273753691158589	0.47578103343212647	0.03490990990990991	0.10714285714285714	-0.01763157894736842	-0.03943486178713537	1.0	0.0	0.0	1.0	0.0	0.0	0.98384	0.001264	0.014896	1.0	0.0	0.0
0.0	0.0	0.007015	-0.9815899581589959	0.5521902340698865	0.03958290867261243	-0.013880872214205545	-0.01386112379683808	-0.03197329247228153	1.0	0.0	0.0	1.0	0.0	0.0	0.908132	0.009696	0.082172	1.0	0.0	0.0
0.0	0.0	0.0069225	-0.6781935202356278	0.8199161233048643	0.015751408944744173	0.019354885026526825	-0.027951839572918004	-0.07355252716548424	1.0	0.0	0.0	1.0	0.0	0.0	0.888992	0.009128	0.10188	1.0	0.0	0.0
0.0	0.0	0.006876500000000001	-0.8673518689331049	0.6462969038307652	-0.01558579734798252	0.01475364712358933	0.026016932934790068	-0.06804452909391165	1.0	0.0	0.0	1.0	0.0	0.0	0.949332	0.001964	0.048704	1.0	0.0	0.0
0.0	0.0	0.006981	-0.9560246262093227	0.9749021559523886	-0.02875816993464052	0.036036036036036036	0.10912698412698411	0.09688084919467341	1.0	0.0	0.0	1.0	0.0	0.0	0.987204	0.000176	0.01262	1.0	0.0	0.0
0.0	0.0	0.0068975	-0.7573839662447258	0.7099106618757272	0.017766357672016245	0.06537649542575652	0.11390101426351426	-0.1788278799159749	1.0	0.0	0.0	1.0	0.0	0.0	0.940456	0.004012	0.055532	1.0	0.0	0.0
0.0	0.0	0.006871	-0.9366749989036529	0.8271745353376952	-0.009155621011291117	0.0065359477124183035	0.024239766081871342	-0.21195370106993364	1.0	0.0	0.0	1.0	0.0	0.0	0.987844	0.0011	0.011056	1.0	0.0	0.0
