,0,0.00001,0.000032,0.0001,0.000316,0.001,0.003162,0.01,0.03162,0.1,0.3162
0.000001,0.166,0.1225,0.1315,0.129,0.155,0.182,0.294,0.364,0.4265,0.408,0.397
0,0.1455,0.1235,0.1515,0.168,0.1795,0.2425,0.2855,0.381,0.3775,0.388,0.3905
0,0.0805,0.085,0.0995,0.089,0.1685,0.1855,0.3155,0.33,0.3475,0.3715,0.376
0,0.0285,0.0225,0.0195,0.042,0.088,0.1675,0.3115,0.3535,0.3325,0.3625,0.3935
0,0.0145,0.01,0.0065,0.0345,0.0635,0.191,0.283,0.3375,0.3625,0.346,0.3605
0,0.001,0.0025,0.0045,0.0375,0.03,0.2425,0.255,0.3025,0.351,0.354,0.387
0,0.0105,0.016,0.004,0.0085,0.09,0.187,0.349,0.3345,0.3385,0.3345,0.387
0,0.0145,0.0045,0.0235,0.0015,0.08,0.2325,0.2935,0.3415,0.3535,0.366,0.352
Inflation:,0.389214537,,,,,,,,,,
