,0,0.00001,0.000032,0.0001,0.000316,0.001,0.003162,0.01,0.03162,0.1,0.3162
0.000001,0.161378,0.164348,0.153682,0.203868,0.127103,0.141183,0.179908,0.314969,0.390158,0.393555,0.388109
0,0.421873,0.400972,0.351566,0.440074,0.428374,0.321777,0.403282,0.420494,0.478867,0.45821,0.443697
0,0.755236,0.765783,0.698293,0.748354,0.666145,0.595547,0.500314,0.513045,0.50202,0.521313,0.467721
0,0.958902,0.955691,0.935835,0.902583,0.855293,0.696409,0.546827,0.524804,0.576211,0.52705,0.472913
0,0.9933,0.990113,0.980503,0.946524,0.908479,0.669282,0.621418,0.559183,0.569515,0.562336,0.482182
0,0.998341,0.994659,0.993743,0.943582,0.924292,0.761234,0.538106,0.553876,0.575305,0.540084,0.495344
0,0.999274,0.989322,0.998953,0.968003,0.896685,0.665649,0.56185,0.505879,0.542432,0.520095,0.484841
0,1,1,0.975797,0.984689,0.869845,0.768032,0.54955,0.508063,0.549264,0.546721,0.48803
,,,,,,,,,,,0.465354625
