,0.000000,0.000010,0.000032,0.000100,0.000316,0.001000,0.003162,0.010000,0.031620,0.100000,0.316200
0.000001,0.799602,0.788525,0.808058,0.773292,0.822710,0.856710,0.797433,0.715853,0.580733,0.401438,0.272222
0.000000,0.795627,0.727311,0.753382,0.717299,0.736518,0.710250,0.686744,0.628436,0.484829,0.287374,0.159187
0.000000,0.562108,0.621997,0.612904,0.614466,0.611004,0.589594,0.586733,0.476939,0.354599,0.236665,0.135360
0.000000,0.399919,0.405899,0.466900,0.423902,0.450027,0.441280,0.342434,0.380104,0.239475,0.153068,0.122182
0.000000,0.265433,0.259411,0.267792,0.302789,0.287956,0.251830,0.314929,0.222810,0.119578,0.117817,0.113637
0.000000,0.085782,0.101419,0.111579,0.145916,0.126701,0.198501,0.155593,0.189508,0.123428,0.108239,0.110239
0.000000,0.029089,0.071924,0.033694,0.105815,0.096313,0.122750,0.157883,0.133511,0.114961,0.091476,0.112726
0.000000,0.003879,0.002887,0.003862,0.010131,0.042673,0.038866,0.119755,0.142917,0.101823,0.097303,0.107176
