sex	rec	CL	AR	SX	CL_bias	AR_bias	SX_bias	delta_m	dt_ratio	Hi	Fis	R2
0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0020832892276790795	0.0024509843748978283	0.007065375	-0.5299827924868828	0.32351967692375183
0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.01834931864524678	0.0015574312927264483	0.007084	-0.533005051579673	0.4757786989212036
0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.039426064413120666	0.002080658219825623	0.0068980000000000005	-0.6639782830019272	0.3094647228717804
0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.00898140040160794	0.005204288411655211	0.007096750000000001	-0.5355821576070435	0.4045339822769165
0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.026021509354842688	0.0009350695471115333	0.0069700000000000005	-0.776730797077108	0.2506712079048157
0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.031241879771152125	0.0010323474312022138	0.0066745	-0.5631166341292482	0.41656413674354553
0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.005576862844818313	0.001925726432303416	0.0070105	-0.6159305904945135	0.2358565628528595
0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.025639863010452384	0.004454719611149028	0.007104375	-0.5212518017231568	0.5840271711349487
0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.028674989515825786	0.0032801142892153706	0.007248625	-0.5302994269103547	0.3459566533565521
0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.07886837629788758	0.0006218050507610572	0.0068857499999999995	-0.7396463933033127	0.22769677639007568
0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.050163265827161414	0.0011605413326105532	0.0070957500000000005	-0.6697836763998661	0.5434015989303589
0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0009808623736212334	0.0007796983056175623	0.006761	-0.6628101618555865	0.3639982342720032
0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.01696166376676396	0.002565706833487074	0.00711875	-0.6208671794782501	0.6478581428527832
0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.06423852287402167	0.002855499251957629	0.007022875	-0.5351338794023462	0.2857413589954376
