Hi	Fis	LD_0.1000	S_1_0	S_0_1	S_SINGER	S_IQ_TREE	D_1_0	D_0_1	D_SINGER	D_IQ_TREE
REC=1e-06	0.8	0.8	0.14	0.41	0.67	0.47	0.27	0.23	0.22	0.18	0.13
REC=3.162e-07	0.82	0.8	0.22	0.59	0.74	0.43	0.37	0.15	0.14	0.14	0.15
REC=1e-07	0.82	0.75	0.2	0.63	0.73	0.33	0.3	0.13	0.11	0.18	0.09
REC=3.162e-08	0.8	0.76	0.2	0.69	0.69	0.3	0.32	0.19	0.14	0.22	0.13
REC=1e-08	0.67	0.63	0.15	0.73	0.69	0.32	0.38	0.28	0.18	0.29	0.18
REC=3.162e-09	0.1	0.15	0.1	0.71	0.68	0.42	0.52	0.33	0.27	0.34	0.2
REC=1e-09	0.38	0.3	0.23	0.72	0.68	0.52	0.58	0.34	0.27	0.36	0.21
REC=0	0.82	0.84	0.66	0.7	0.7	0.66	0.65	0.4	0.25	0.39	0.21
